Press [Pa],Temp [degK],Density [kg/m^3],Specific Enthalpy [J/kg]
3618641.7095925333,220.03350216419835,58.20510812641671,213441.61225020877
1961842.7418452902,269.10706349032307,24.780524834390988,273923.47210531146
1398818.075048579,398.7256682756446,11.772905712531687,412769.6144845347
1322828.9412303225,386.71584032633274,11.485973578563781,400178.66607970675
512748.50712481246,107.82705803105591,17.52241884656727,103660.21133649664
1650007.482394942,113.99019184976197,68.09580622249992,88655.64547179498
33178.92790539926,396.7213224937003,0.28175315896301806,412099.84750399296
3110157.938582255,510.22006500977034,20.273848911262714,530252.7478065267
3200305.3800761034,157.24151690989072,82.51135168358668,136079.26186189163
600921.7084891512,239.88371739107322,8.489190781820566,246842.57944985796
3892825.0380150015,392.03222135433015,33.07165396784617,403147.74742394086
2934869.68388394,253.24337505901025,39.797372761443015,253748.22314971546
3338863.8629534296,505.4661042323255,21.94920123009222,525086.8607313585
3529784.8641995005,137.03664977886694,131.69372156440252,95831.08410510246
2633312.268248768,523.661462505884,16.75685090122467,544784.3581220291
703887.5561367361,375.96685929455384,6.298134514237621,389601.46727370186
202048.06531838357,306.1327623944066,2.2242776533031425,317367.58145253535
2579861.3857968855,501.3714202299905,17.15427050946345,520955.69668816647
3711169.15437903,86.49625121354944,774.2144480139674,-100958.49811234952
2552278.527917058,320.40602639002253,26.828811523139787,327917.03503808996
1818047.3446467284,97.52264748552989,710.3163051992325,-78588.58363540562
823271.8824225545,375.84307926679134,7.366766413976946,389323.4077092244
3894399.5941686146,429.5832514369954,30.11955914704297,443486.6514232448
1003696.8057104418,398.42065970329776,8.463844968462988,412853.41419696657
1198485.9509800281,197.28787836431025,21.030595020068187,198620.72601206435
3792001.3758746446,292.4118114169439,43.95386474981232,294992.0223565844
1915257.1282493405,251.6458240251614,25.992836920445686,255124.92061080819
1571216.3277443626,258.55624852660327,20.670930021005436,263645.861550362
3482321.0095633212,499.0053390604258,23.17661652909891,518112.2304623071
556368.00534526,95.1399066652499,717.5366639901946,-84256.1881395611
1482287.5063802078,285.1431773234276,17.58816779684427,292361.8326295074
3688360.2091950946,466.2735354570832,26.26670361915689,482943.905297491
3575820.900333473,132.06155945846524,160.1002515301496,80115.39010407608
3535834.5775932255,164.7046919727253,85.72568483848366,143821.01942000483
3424531.0057452065,411.1423660723091,27.749534295090946,424085.16346211464
2550983.8324715556,442.8245983317399,19.2290669145,458556.80816725123
3750700.7385216793,353.9043586576836,35.45487410365151,362190.2380090942
711490.5667366064,181.3099650965221,13.51705284165912,183894.6663870408
2061278.7843116436,123.2955968050527,77.19770127219338,96937.91707908318
2856413.9587712935,323.445752866958,29.722594091533797,330654.65053329564
2065005.3507584499,457.89684265672696,15.076340450544736,474886.4281424442
2037231.3947342602,204.81604131970914,34.85984555228742,202863.34618608688
872070.0321673256,275.64779076478436,10.696604651588371,283808.5488760598
927203.313998427,504.13050572812307,6.1735449448088655,524495.7741672016
3853531.1940835556,288.6856331128189,45.30235855482662,290733.4866150094
613264.914885124,406.5132552176844,5.07366354249854,421751.3009955251
3492218.7906908714,157.56147532997045,91.48982451489762,133723.4111361616
2265883.2251913706,342.1711497610098,22.250785405393223,351704.89797323325
580748.4705110072,400.6171919998218,4.876182895353535,415597.92819981906
2464521.1172089553,87.12671455718367,767.2215940682468,-100417.91667882442
2854751.9713258552,460.0792780457435,20.677513596803845,476758.2249277954
2531831.3582474887,365.74284451269807,23.198367245069296,376491.2098608501
1277634.121214855,432.4643373681779,9.910221439557816,448487.76261868706
